# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.008839 0.001277 0.000788 0.001596 0.001492 0.013993
0.008717 0.001293 0.000757 0.001578 0.001440 0.013785
0.008583 0.001306 0.000742 0.001564 0.001388 0.013583
0.008477 0.001327 0.000710 0.001537 0.001337 0.013387
0.008340 0.001340 0.000714 0.001513 0.001288 0.013195
0.008268 0.001369 0.000666 0.001465 0.001241 0.013009
0.008088 0.001371 0.000723 0.001449 0.001197 0.012828
0.008096 0.001422 0.000606 0.001377 0.001154 0.012655
0.007779 0.001389 0.000805 0.001410 0.001113 0.012496
0.007960 0.001482 0.000537 0.001290 0.001073 0.012342
0.007575 0.001426 0.000782 0.001350 0.001034 0.012166
0.007599 0.001475 0.000636 0.001284 0.000997 0.011991
0.007592 0.001515 0.000546 0.001234 0.000962 0.011850
0.007266 0.001471 0.000753 0.001287 0.000929 0.011706
0.007331 0.001525 0.000571 0.001215 0.000899 0.011540
0.007254 0.001541 0.000542 0.001191 0.000869 0.011398
0.006984 0.001505 0.000705 0.001230 0.000841 0.011265
0.007048 0.001554 0.000535 0.001161 0.000814 0.011112
0.006946 0.001557 0.000534 0.001147 0.000788 0.010972
0.006724 0.001526 0.000660 0.001172 0.000764 0.010845
0.006785 0.001569 0.000504 0.001105 0.000741 0.010704
0.006668 0.001564 0.000518 0.001098 0.000720 0.010569
0.006485 0.001540 0.000606 0.001116 0.000701 0.010447
0.006534 0.001580 0.000463 0.001059 0.000683 0.010317
0.006401 0.001568 0.000495 0.001060 0.000664 0.010188
0.006265 0.001553 0.000546 0.001061 0.000647 0.010072
0.006310 0.001588 0.000425 0.001001 0.000630 0.009953
0.006163 0.001569 0.000482 0.001002 0.000614 0.009830
0.006073 0.001566 0.000491 0.000986 0.000599 0.009716
0.006091 0.001595 0.000397 0.000937 0.000586 0.009606
0.005928 0.001575 0.000470 0.000946 0.000572 0.009491
0.005888 0.001589 0.000427 0.000916 0.000560 0.009379
0.005863 0.001609 0.000374 0.000880 0.000547 0.009273
0.005706 0.001591 0.000446 0.000888 0.000536 0.009167
0.005709 0.001619 0.000366 0.000841 0.000525 0.009060
0.005619 0.001620 0.000377 0.000824 0.000516 0.008956
0.005512 0.001617 0.000409 0.000812 0.000507 0.008857
0.005516 0.001646 0.000334 0.000766 0.000498 0.008759
0.005372 0.001633 0.000397 0.000769 0.000490 0.008661
0.005347 0.001654 0.000346 0.000735 0.000482 0.008565
0.005276 0.001663 0.000340 0.000717 0.000475 0.008471
0.005168 0.001660 0.000371 0.000713 0.000468 0.008382
0.005165 0.001686 0.000306 0.000674 0.000462 0.008293
0.005023 0.001671 0.000374 0.000682 0.000456 0.008206
0.005031 0.001696 0.000302 0.000640 0.000450 0.008119
0.004907 0.001684 0.000353 0.000645 0.000445 0.008033
0.004887 0.001699 0.000309 0.000615 0.000439 0.007949
0.004803 0.001694 0.000327 0.000609 0.000434 0.007867
0.004753 0.001697 0.000316 0.000591 0.000430 0.007787
0.004702 0.001698 0.000307 0.000575 0.000426 0.007708
0.004626 0.001690 0.000323 0.000569 0.000422 0.007630
0.004610 0.001699 0.000287 0.000541 0.000418 0.007555
0.004495 0.001679 0.000343 0.000550 0.000414 0.007482
0.004546 0.001706 0.000250 0.000500 0.000411 0.007414
0.004323 0.001657 0.000416 0.000554 0.000408 0.007358
0.004545 0.001730 0.000194 0.000445 0.000405 0.007320
0.004158 0.001635 0.000511 0.000561 0.000403 0.007268
0.004395 0.001712 0.000215 0.000435 0.000401 0.007159
0.004269 0.001692 0.000263 0.000451 0.000398 0.007073
0.004063 0.001648 0.000435 0.000508 0.000396 0.007050
0.004273 0.001718 0.000199 0.000398 0.000397 0.006985
0.004094 0.001684 0.000287 0.000435 0.000393 0.006893
0.003958 0.001660 0.000384 0.000466 0.000392 0.006860
0.004127 0.001718 0.000199 0.000372 0.000393 0.006809
0.003954 0.001685 0.000288 0.000410 0.000389 0.006726
0.003848 0.001667 0.000355 0.000431 0.000387 0.006688
0.003987 0.001714 0.000201 0.000351 0.000389 0.006642
0.003829 0.001683 0.000282 0.000388 0.000386 0.006568
0.003742 0.001669 0.000331 0.000402 0.000385 0.006529
0.003859 0.001707 0.000202 0.000331 0.000386 0.006485
0.003710 0.001678 0.000279 0.000369 0.000383 0.006419
0.003643 0.001667 0.000311 0.000375 0.000381 0.006377
0.003741 0.001698 0.000204 0.000311 0.000382 0.006337
0.003594 0.001669 0.000280 0.000353 0.000380 0.006277
0.003552 0.001664 0.000288 0.000349 0.000379 0.006232
0.003628 0.001688 0.000206 0.000294 0.000379 0.006195
0.003483 0.001660 0.000284 0.000340 0.000376 0.006143
0.003474 0.001662 0.000263 0.000319 0.000375 0.006095
0.003516 0.001677 0.000211 0.000280 0.000376 0.006059
0.003375 0.001649 0.000289 0.000328 0.000373 0.006015
0.003407 0.001660 0.000239 0.000287 0.000373 0.005966
0.003397 0.001663 0.000222 0.000273 0.000372 0.005926
0.003282 0.001642 0.000283 0.000313 0.000370 0.005889
0.003342 0.001659 0.000217 0.000258 0.000370 0.005846
0.003267 0.001647 0.000242 0.000276 0.000369 0.005802
0.003213 0.001639 0.000260 0.000284 0.000368 0.005764
0.003258 0.001652 0.000211 0.000240 0.000368 0.005728
0.003144 0.001632 0.000265 0.000282 0.000366 0.005688
0.003172 0.001641 0.000225 0.000243 0.000365 0.005646
0.003134 0.001636 0.000230 0.000244 0.000365 0.005608
0.003068 0.001625 0.000254 0.000262 0.000363 0.005573
0.003110 0.001636 0.000210 0.000219 0.000363 0.005538
0.003002 0.001616 0.000259 0.000262 0.000361 0.005501
0.003048 0.001627 0.000213 0.000215 0.000361 0.005463
0.002969 0.001613 0.000243 0.000241 0.000360 0.005425
0.002968 0.001614 0.000227 0.000221 0.000359 0.005389
0.002945 0.001611 0.000224 0.000216 0.000358 0.005354
0.002892 0.001602 0.000240 0.000230 0.000357 0.005320
0.002917 0.001608 0.000210 0.000196 0.000356 0.005287
0.002817 0.001589 0.000254 0.000243 0.000354 0.005257
0.002900 0.001606 0.000193 0.000176 0.000354 0.005230
0.002732 0.001574 0.000280 0.000269 0.000352 0.005207
0.002892 0.001607 0.000171 0.000162 0.000353 0.005185
0.002673 0.001561 0.000304 0.000263 0.000350 0.005151
0.002813 0.001594 0.000178 0.000169 0.000351 0.005104
0.002707 0.001569 0.000241 0.000194 0.000347 0.005058
0.002671 0.001562 0.000242 0.000206 0.000348 0.005029
0.002750 0.001580 0.000174 0.000160 0.000348 0.005012
0.002589 0.001543 0.000286 0.000227 0.000344 0.004989
0.002704 0.001567 0.000179 0.000154 0.000347 0.004952
0.002597 0.001544 0.000232 0.000195 0.000342 0.004910
0.002591 0.001541 0.000227 0.000177 0.000343 0.004878
0.002627 0.001549 0.000184 0.000153 0.000343 0.004856
0.002506 0.001523 0.000256 0.000211 0.000339 0.004836
0.002603 0.001541 0.000180 0.000141 0.000343 0.004808
0.002485 0.001517 0.000238 0.000194 0.000337 0.004772
0.002520 0.001523 0.000199 0.000156 0.000339 0.004737
0.002500 0.001516 0.000204 0.000151 0.000337 0.004709
0.002435 0.001504 0.000229 0.000185 0.000334 0.004687
0.002500 0.001515 0.000177 0.000136 0.000337 0.004665
0.002380 0.001488 0.000252 0.000188 0.000332 0.004640
0.002464 0.001505 0.000174 0.000134 0.000335 0.004611
0.002361 0.001481 0.000234 0.000172 0.000331 0.004579
0.002399 0.001487 0.000192 0.000139 0.000332 0.004548
0.002361 0.001479 0.000199 0.000151 0.000330 0.004520
0.002332 0.001470 0.000214 0.000151 0.000329 0.004495
0.002355 0.001472 0.000183 0.000132 0.000329 0.004472
0.002274 0.001453 0.000227 0.000170 0.000326 0.004450
0.002346 0.001464 0.000174 0.000119 0.000328 0.004431
0.002218 0.001438 0.000241 0.000194 0.000323 0.004414
0.002338 0.001459 0.000159 0.000114 0.000328 0.004398
0.002174 0.001423 0.000264 0.000194 0.000321 0.004376
0.002299 0.001446 0.000159 0.000115 0.000328 0.004347
0.002174 0.001416 0.000249 0.000153 0.000319 0.004312
0.002216 0.001422 0.000184 0.000129 0.000327 0.004278
0.002200 0.001418 0.000190 0.000125 0.000318 0.004250
0.002142 0.001401 0.000219 0.000145 0.000321 0.004228
0.002199 0.001412 0.000165 0.000115 0.000319 0.004209
0.002100 0.001387 0.000234 0.000154 0.000315 0.004191
0.002170 0.001398 0.000171 0.000110 0.000325 0.004174
0.002079 0.001380 0.000228 0.000157 0.000313 0.004157
0.002134 0.001384 0.000181 0.000108 0.000328 0.004136
0.002055 0.001370 0.000221 0.000150 0.000311 0.004107
0.002102 0.001374 0.000170 0.000110 0.000321 0.004077
0.002027 0.001356 0.000218 0.000136 0.000311 0.004048
0.002070 0.001364 0.000165 0.000112 0.000311 0.004023
0.002007 0.001347 0.000202 0.000131 0.000313 0.004000
0.002030 0.001351 0.000180 0.000111 0.000307 0.003979
0.001997 0.001340 0.000181 0.000127 0.000314 0.003958
0.001987 0.001335 0.000196 0.000113 0.000306 0.003936
0.001984 0.001331 0.000171 0.000116 0.000311 0.003914
0.001945 0.001321 0.000197 0.000125 0.000305 0.003892
0.001977 0.001324 0.000164 0.000102 0.000308 0.003874
0.001892 0.001304 0.000204 0.000159 0.000304 0.003864
0.001997 0.001321 0.000145 0.000100 0.000306 0.003869
0.001814 0.001281 0.000251 0.000240 0.000302 0.003889
0.002026 0.001321 0.000127 0.000115 0.000309 0.003897
0.001801 0.001269 0.000309 0.000170 0.000302 0.003851
0.001904 0.001286 0.000182 0.000117 0.000332 0.003821
0.001913 0.001288 0.000224 0.000094 0.000314 0.003833
0.001793 0.001249 0.000277 0.000153 0.000347 0.003819
0.001895 0.001277 0.000168 0.000103 0.000300 0.003744
0.001853 0.001259 0.000169 0.000097 0.000301 0.003678
0.001771 0.001236 0.000228 0.000143 0.000311 0.003690
0.001877 0.001263 0.000166 0.000096 0.000300 0.003702
0.001793 0.001233 0.000201 0.000109 0.000324 0.003660
0.001754 0.001225 0.000236 0.000127 0.000295 0.003636
0.001855 0.001245 0.000127 0.000094 0.000297 0.003618
0.001731 0.001211 0.000201 0.000137 0.000298 0.003578
0.001756 0.001213 0.000200 0.000099 0.000292 0.003561
0.001803 0.001223 0.000135 0.000097 0.000302 0.003560
0.001698 0.001196 0.000211 0.000152 0.000291 0.003548
0.001759 0.001201 0.000169 0.000091 0.000302 0.003523
0.001729 0.001197 0.000153 0.000115 0.000289 0.003483
0.001696 0.001184 0.000165 0.000130 0.000291 0.003466
0.001731 0.001184 0.000162 0.000090 0.000293 0.003461
0.001673 0.001172 0.000178 0.000128 0.000287 0.003438
0.001699 0.001173 0.000147 0.000108 0.000298 0.003424
0.001684 0.001166 0.000185 0.000092 0.000287 0.003414
0.001644 0.001152 0.000177 0.000121 0.000300 0.003393
0.001680 0.001160 0.000144 0.000100 0.000285 0.003369
0.001646 0.001145 0.000165 0.000098 0.000290 0.003344
0.001619 0.001135 0.000173 0.000113 0.000287 0.003326
0.001659 0.001143 0.000135 0.000095 0.000283 0.003315
0.001602 0.001123 0.000171 0.000112 0.000289 0.003298
0.001612 0.001123 0.000165 0.000097 0.000282 0.003280
0.001618 0.001120 0.000141 0.000099 0.000290 0.003268
0.001570 0.001107 0.000183 0.000115 0.000282 0.003256
0.001609 0.001109 0.000145 0.000090 0.000293 0.003247
0.001555 0.001096 0.000177 0.000128 0.000282 0.003238
0.001587 0.001096 0.000154 0.000090 0.000300 0.003227
0.001540 0.001086 0.000200 0.000110 0.000286 0.003221
0.001563 0.001083 0.000164 0.000098 0.000311 0.003219
0.001530 0.001076 0.000214 0.000101 0.000292 0.003213
0.001538 0.001069 0.000179 0.000096 0.000318 0.003200
0.001515 0.001067 0.000194 0.000110 0.000288 0.003174
0.001529 0.001060 0.000156 0.000090 0.000300 0.003136
0.001478 0.001049 0.000177 0.000121 0.000277 0.003101
0.001534 0.001057 0.000121 0.000088 0.000278 0.003078
0.001450 0.001033 0.000170 0.000133 0.000279 0.003066
0.001513 0.001045 0.000136 0.000088 0.000274 0.003056
0.001450 0.001025 0.000154 0.000128 0.000286 0.003042
