# BTE HeatFlux PeriodicBC IC_fneq IC_T Total
0.000711 0.001634 0.000965 0.000000 0.426934 0.430244
0.000757 0.001727 0.001004 0.000000 0.424058 0.427546
0.000807 0.001827 0.001042 0.000001 0.421083 0.424759
0.000860 0.001934 0.001077 0.000001 0.418007 0.421879
0.000918 0.002047 0.001107 0.000001 0.414829 0.418901
0.000979 0.002168 0.001131 0.000001 0.411543 0.415822
0.001045 0.002296 0.001148 0.000001 0.408148 0.412638
0.001115 0.002432 0.001159 0.000001 0.404638 0.409345
0.001191 0.002575 0.001163 0.000001 0.401008 0.405939
0.001272 0.002728 0.001162 0.000002 0.397254 0.402418
0.001359 0.002890 0.001158 0.000002 0.393370 0.398779
0.001453 0.003063 0.001152 0.000002 0.389348 0.395018
0.001554 0.003248 0.001147 0.000002 0.385181 0.391132
0.001662 0.003446 0.001146 0.000002 0.380863 0.387120
0.001779 0.003660 0.001151 0.000003 0.376385 0.382977
0.001905 0.003889 0.001164 0.000003 0.371740 0.378700
0.002040 0.004137 0.001185 0.000003 0.366922 0.374287
0.002186 0.004404 0.001216 0.000003 0.361926 0.369735
0.002343 0.004692 0.001256 0.000003 0.356746 0.365041
0.002512 0.005003 0.001303 0.000004 0.351382 0.360204
0.002694 0.005338 0.001355 0.000004 0.345832 0.355223
0.002889 0.005698 0.001409 0.000004 0.340097 0.350097
0.003099 0.006084 0.001460 0.000005 0.334178 0.344826
0.003324 0.006499 0.001504 0.000005 0.328076 0.339408
0.003565 0.006944 0.001538 0.000005 0.321793 0.333845
0.003823 0.007419 0.001558 0.000006 0.315330 0.328137
0.004100 0.007927 0.001566 0.000006 0.308687 0.322286
0.004397 0.008470 0.001562 0.000006 0.301861 0.316296
0.004714 0.009048 0.001550 0.000007 0.294851 0.310171
0.005054 0.009665 0.001536 0.000007 0.287653 0.303915
0.005416 0.010321 0.001524 0.000008 0.280265 0.297535
0.005804 0.011019 0.001520 0.000008 0.272687 0.291038
0.006217 0.011758 0.001525 0.000009 0.264922 0.284431
0.006657 0.012542 0.001541 0.000009 0.256976 0.277725
0.007126 0.013369 0.001564 0.000010 0.248862 0.270931
0.007623 0.014242 0.001590 0.000010 0.240596 0.264061
0.008151 0.015160 0.001613 0.000011 0.232195 0.257130
0.008710 0.016124 0.001629 0.000012 0.223679 0.250154
0.009302 0.017135 0.001634 0.000012 0.215066 0.243148
0.009926 0.018193 0.001629 0.000013 0.206372 0.236133
0.010583 0.019297 0.001620 0.000014 0.197613 0.229126
0.011274 0.020445 0.001613 0.000015 0.188803 0.222150
0.011998 0.021635 0.001617 0.000016 0.179959 0.215224
0.012754 0.022862 0.001636 0.000016 0.171103 0.208371
0.013541 0.024120 0.001671 0.000017 0.162264 0.201613
0.014358 0.025401 0.001719 0.000018 0.153476 0.194972
0.015201 0.026697 0.001773 0.000019 0.144779 0.188469
0.016068 0.027996 0.001830 0.000021 0.136211 0.182125
0.016956 0.029285 0.001890 0.000022 0.127806 0.175959
0.017860 0.030549 0.001960 0.000024 0.119593 0.169986
0.018777 0.031770 0.002050 0.000027 0.111597 0.164221
0.019701 0.032930 0.002171 0.000030 0.103842 0.158673
0.020628 0.034005 0.002325 0.000034 0.096357 0.153348
0.021554 0.034975 0.002510 0.000039 0.089172 0.148249
0.022475 0.035817 0.002719 0.000047 0.082317 0.143375
0.023391 0.036511 0.002944 0.000057 0.075817 0.138719
0.024300 0.037033 0.003183 0.000071 0.069685 0.134271
0.025202 0.037362 0.003436 0.000089 0.063929 0.130017
0.026097 0.037477 0.003699 0.000112 0.058553 0.125939
0.026988 0.037362 0.003965 0.000142 0.053560 0.122017
0.027874 0.037007 0.004221 0.000179 0.048950 0.118231
0.028753 0.036408 0.004456 0.000224 0.044722 0.114564
0.029619 0.035566 0.004667 0.000278 0.040868 0.110999
0.030460 0.034490 0.004859 0.000339 0.037374 0.107522
0.031259 0.033190 0.005044 0.000408 0.034226 0.104126
0.031999 0.031686 0.005233 0.000482 0.031407 0.100807
0.032666 0.030004 0.005432 0.000562 0.028900 0.097564
0.033250 0.028179 0.005644 0.000647 0.026685 0.094405
0.033749 0.026248 0.005869 0.000737 0.024735 0.091338
0.034166 0.024247 0.006099 0.000834 0.023026 0.088373
0.034510 0.022217 0.006320 0.000941 0.021532 0.085519
0.034789 0.020192 0.006516 0.001058 0.020229 0.082784
0.035010 0.018209 0.006678 0.001188 0.019086 0.080172
0.035171 0.016299 0.006807 0.001331 0.018075 0.077682
0.035259 0.014486 0.006917 0.001485 0.017166 0.075313
0.035256 0.012791 0.007026 0.001648 0.016339 0.073059
0.035145 0.011228 0.007147 0.001816 0.015577 0.070912
0.034924 0.009807 0.007282 0.001987 0.014863 0.068863
0.034612 0.008533 0.007417 0.002161 0.014182 0.066905
0.034243 0.007402 0.007526 0.002337 0.013525 0.065033
0.033850 0.006408 0.007580 0.002515 0.012887 0.063239
0.033444 0.005542 0.007572 0.002690 0.012271 0.061519
0.033013 0.004795 0.007519 0.002861 0.011683 0.059869
0.032530 0.004159 0.007449 0.003022 0.011124 0.058284
0.031983 0.003626 0.007379 0.003173 0.010597 0.056758
0.031384 0.003189 0.007295 0.003312 0.010105 0.055284
0.030765 0.002835 0.007167 0.003438 0.009650 0.053856
0.030144 0.002554 0.006984 0.003549 0.009232 0.052464
0.029512 0.002337 0.006762 0.003641 0.008847 0.051099
0.028845 0.002171 0.006531 0.003714 0.008493 0.049753
0.028132 0.002047 0.006306 0.003768 0.008167 0.048420
0.027383 0.001957 0.006086 0.003804 0.007867 0.047096
0.026612 0.001892 0.005865 0.003821 0.007590 0.045780
0.025815 0.001846 0.005661 0.003820 0.007332 0.044475
0.024985 0.001812 0.005500 0.003803 0.007090 0.043190
0.024136 0.001788 0.005389 0.003767 0.006859 0.041939
0.023316 0.001772 0.005306 0.003708 0.006638 0.040740
0.022578 0.001765 0.005220 0.003622 0.006422 0.039607
0.021938 0.001767 0.005122 0.003510 0.006210 0.038547
0.021359 0.001779 0.005036 0.003381 0.006001 0.037555
0.020784 0.001798 0.004986 0.003249 0.005796 0.036613
0.020183 0.001822 0.004965 0.003126 0.005597 0.035692
0.019557 0.001848 0.004939 0.003016 0.005402 0.034761
0.018921 0.001874 0.004875 0.002920 0.005211 0.033801
0.018290 0.001899 0.004760 0.002837 0.005021 0.032808
0.017675 0.001919 0.004596 0.002768 0.004832 0.031791
0.017091 0.001934 0.004390 0.002711 0.004641 0.030768
0.016543 0.001944 0.004157 0.002669 0.004449 0.029762
0.016018 0.001947 0.003924 0.002641 0.004256 0.028786
0.015489 0.001942 0.003719 0.002626 0.004066 0.027841
